Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
  31.5s P0100 -> L0 R150: drifting left, slight; left correction
  31.5s P0100 -> L0 R150: drifting left, slight; left correction
  31.5s P0100 -> L0 R150: drifting left, slight; left correction
  31.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.5s P0100 -> L0 R150: drifting left, slight; left correction
  31.5s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0100 -> L0 R150: drifting left, slight; left correction
  31.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.7s P0100 -> L0 R150: drifting left, slight; left correction
  31.7s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.8s P0100 -> L0 R150: drifting left, slight; left correction
  31.9s P0100 -> L0 R150: drifting left, slight; left correction
  31.9s P0100 -> L0 R150: drifting left, slight; left correction
  31.9s P0100 -> L0 R150: drifting left, slight; left correction
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  31.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.0s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.1s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0100 -> L0 R150: drifting left, slight; left correction
  32.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.3s P0100 -> L0 R150: drifting left, slight; left correction
  32.4s P0100 -> L0 R150: drifting left, slight; left correction
  32.4s P0100 -> L0 R150: drifting left, slight; left correction
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.5s P0100 -> L0 R150: drifting left, slight; left correction
  32.6s P0100 -> L0 R150: drifting left, slight; left correction
  32.6s P0100 -> L0 R150: drifting left, slight; left correction
  32.6s P0100 -> L0 R150: drifting left, slight; left correction
  32.6s P0100 -> L0 R150: drifting left, slight; left correction
  32.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.7s P0100 -> L0 R150: drifting left, slight; left correction
  32.7s P0100 -> L0 R150: drifting left, slight; left correction
  32.7s P0100 -> L0 R150: drifting left, slight; left correction
  32.7s P0100 -> L0 R150: drifting left, slight; left correction
  32.7s P0100 -> L0 R150: drifting left, slight; left correction
  32.7s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.8s P0100 -> L0 R150: drifting left, slight; left correction
  32.9s P0100 -> L0 R150: drifting left, slight; left correction
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  32.9s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.0s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.1s P0100 -> L0 R150: drifting left, slight; left correction
  33.2s P0100 -> L0 R150: drifting left, slight; left correction
  33.2s P0100 -> L0 R150: drifting left, slight; left correction
  33.2s P0100 -> L0 R150: drifting left, slight; left correction
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.3s P0100 -> L0 R150: drifting left, slight; left correction
  33.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.4s P0100 -> L0 R150: drifting left, slight; left correction
  33.4s P0100 -> L0 R150: drifting left, slight; left correction
  33.4s P0100 -> L0 R150: drifting left, slight; left correction
  33.4s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0100 -> L0 R150: drifting left, slight; left correction
  33.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.7s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.8s P0100 -> L0 R150: drifting left, slight; left correction
  33.9s P0100 -> L0 R150: drifting left, slight; left correction
  33.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  33.9s P0100 -> L0 R150: drifting left, slight; left correction
  33.9s P0100 -> L0 R150: drifting left, slight; left correction
  33.9s P0100 -> L0 R150: drifting left, slight; left correction
  33.9s P0100 -> L0 R150: drifting left, slight; left correction
  33.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0100 -> L0 R150: drifting left, slight; left correction
  34.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.1s P0100 -> L0 R150: drifting left, slight; left correction
  34.1s P0100 -> L0 R150: drifting left, slight; left correction
  34.1s P0100 -> L0 R150: drifting left, slight; left correction
  34.1s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.2s P0100 -> L0 R150: drifting left, slight; left correction
  34.3s P0100 -> L0 R150: drifting left, slight; left correction
  34.3s P0100 -> L0 R150: drifting left, slight; left correction
  34.3s P0100 -> L0 R150: drifting left, slight; left correction
  34.3s P0100 -> L0 R150: drifting left, slight; left correction
  34.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.4s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.5s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.6s P0100 -> L0 R150: drifting left, slight; left correction
  34.7s P0100 -> L0 R150: drifting left, slight; left correction
  34.7s P0100 -> L0 R150: drifting left, slight; left correction
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.8s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  34.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.0s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0100 -> L0 R150: drifting left, slight; left correction
  35.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.2s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.3s P0100 -> L0 R150: drifting left, slight; left correction
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.4s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.5s P0100 -> L0 R150: drifting left, slight; left correction
  35.6s P0100 -> L0 R150: drifting left, slight; left correction
  35.6s P0100 -> L0 R150: drifting left, slight; left correction
  35.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.6s P0100 -> L0 R150: drifting left, slight; left correction
  35.6s P0100 -> L0 R150: drifting left, slight; left correction
  35.6s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.7s P0100 -> L0 R150: drifting left, slight; left correction
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  35.9s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.0s P0100 -> L0 R150: drifting left, slight; left correction
  36.1s P0100 -> L0 R150: drifting left, slight; left correction
  36.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.1s P0110 -> L150 R150: centred or right drift; forward-only policy
